id,name
CMP-0-DEPT-Sales,Sales
CMP-0-DEPT-Finance,Finance
CMP-0-DEPT-Engineering,Engineering
CMP-0-DEPT-Product,Product
CMP-1-DEPT-Engineering,Engineering
CMP-1-DEPT-Design,Design
CMP-1-DEPT-Marketing,Marketing
CMP-1-DEPT-Sales,Sales
CMP-1-DEPT-Finance,Finance
CMP-1-DEPT-HR,HR
CMP-1-DEPT-Product,Product
CMP-2-DEPT-Finance,Finance
CMP-2-DEPT-Marketing,Marketing
CMP-2-DEPT-Design,Design
CMP-3-DEPT-HR,HR
CMP-3-DEPT-Engineering,Engineering
CMP-3-DEPT-Marketing,Marketing
CMP-3-DEPT-Sales,Sales
CMP-3-DEPT-Finance,Finance
CMP-4-DEPT-Design,Design
CMP-4-DEPT-Finance,Finance
CMP-4-DEPT-HR,HR
CMP-4-DEPT-Product,Product
CMP-4-DEPT-Engineering,Engineering
CMP-4-DEPT-Marketing,Marketing
CMP-5-DEPT-Product,Product
CMP-5-DEPT-Design,Design
CMP-5-DEPT-Marketing,Marketing
CMP-5-DEPT-HR,HR
CMP-5-DEPT-Sales,Sales
CMP-6-DEPT-Sales,Sales
CMP-6-DEPT-Engineering,Engineering
CMP-6-DEPT-Design,Design
CMP-7-DEPT-Sales,Sales
CMP-7-DEPT-Marketing,Marketing
CMP-7-DEPT-Product,Product
CMP-8-DEPT-Marketing,Marketing
CMP-8-DEPT-HR,HR
CMP-8-DEPT-Design,Design
CMP-9-DEPT-HR,HR
CMP-9-DEPT-Engineering,Engineering
CMP-9-DEPT-Design,Design
CMP-9-DEPT-Marketing,Marketing
CMP-9-DEPT-Sales,Sales
CMP-9-DEPT-Product,Product
